location_id,location_name,city,state,country,postal_code,warehouse_type,is_active,created_date
1,Main Warehouse,New York,NY,USA,10001,distribution,true,2023-01-15
2,West Coast Hub,Los Angeles,CA,USA,90210,distribution,true,2023-02-20
3,Chicago Center,Chicago,IL,USA,60601,fulfillment,true,2023-03-10
4,Miami Depot,Miami,FL,USA,33101,storage,true,2023-04-05
5,Seattle Station,Seattle,WA,USA,98101,fulfillment,false,2023-05-12
6,Dallas Distribution,Dallas,TX,USA,75201,distribution,true,2023-06-18
7,Boston Bay,Boston,MA,USA,02101,storage,true,2023-07-25
8,Phoenix Point,Phoenix,AZ,USA,85001,fulfillment,true,2023-08-30
9,Denver Depot,Denver,CO,USA,80201,distribution,false,2023-09-14
10,Atlanta Arsenal,Atlanta,GA,USA,30301,storage,true,2023-10-22
